"","Acaulosporaceae","Agaricaceae","Agaricales_fam_Incertae_sedis","Agaricales_unclassified","Agaricomycetes_fam_Incertae_sedis","Agaricomycetes_unclassified","Amniculicolaceae","Amphisphaeriaceae","Annulatascaceae","Antennulariellaceae","Apiosporaceae","Archaeorhizomycetaceae","Archaeorhizomycetes_unclassified","Archaeosporaceae","Arthrodermataceae","Ascobolaceae","Ascomycota_fam_Incertae_sedis","Ascomycota_unclassified","Ascosphaeraceae","Auriculariales_fam_Incertae_sedis","Auriculariales_unclassified","Basidiomycota_unclassified","Bionectriaceae","Bolbitiaceae","Botryosphaeriaceae","Cantharellales_fam_Incertae_sedis","Capnodiales_fam_Incertae_sedis","Capnodiales_unclassified","Cephalothecaceae","Ceratobasidiaceae","Ceratocystidaceae","Ceratostomataceae","Chaetomiaceae","Chaetosphaeriaceae","Chaetothyriaceae","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_unclassified","Chionosphaeraceae","Chytridiomycota_unclassified","Claroideoglomeraceae","Clavariaceae","Clavicipitaceae","Coniochaetaceae","Cordycipitaceae","Corticiaceae","Cucurbitariaceae","Cunninghamellaceae","Cystobasidiaceae","Cystobasidiomycetes_fam_Incertae_sedis","Cystofilobasidiaceae","Cystofilobasidiales_fam_Incertae_sedis","Davidiellaceae","Debaryomycetaceae","Dermateaceae","Diaporthaceae","Didymosphaeriaceae","Diversisporaceae","Dothideaceae","Dothideomycetes_fam_Incertae_sedis","Dothideomycetes_unclassified","Dothioraceae","Entolomataceae","Eocronartiaceae","Eurotiomycetes_unclassified","Exobasidiaceae","Fungi_unclassified","Ganodermataceae","Geastraceae","Geminibasidiaceae","Geoglossaceae","Glomeraceae","Glomerellaceae","Halosphaeriaceae","Helotiaceae","Helotiales_fam_Incertae_sedis","Helotiales_unclassified","Herpotrichiellaceae","Heterogastridiaceae","Hyaloscyphaceae","Hydnangiaceae","Hydnodontaceae","Hygrophoraceae","Hypocreaceae","Hypocreales_fam_Incertae_sedis","Hypocreales_unclassified","Hyponectriaceae","Inocybaceae","Kickxellaceae","Kickxellales_unclassified","Lasiosphaeriaceae","Lentitheciaceae","Leotiaceae","Leotiomycetes_fam_Incertae_sedis","Leotiomycetes_unclassified","Leptosphaeriaceae","Leucosporidiaceae","Lipomycetaceae","Lobulomycetaceae","Lophiostomataceae","Magnaporthaceae","Magnaporthales_unclassified","Malasseziaceae","Marasmiaceae","Meruliaceae","Metschnikowiaceae","Microascaceae","Microbotryomycetes_fam_Incertae_sedis","Microbotryomycetes_ord_Incertae_sedis_unclassified","Microbotryomycetes_unclassified","Microstromataceae","Montagnulaceae","Mortierellaceae","Mucoraceae","Mycenaceae","Mycosphaerellaceae","Myxotrichaceae","Nectriaceae","Niaceae","Niessliaceae","Onygenaceae","Onygenales_fam_Incertae_sedis","Ophiocordycipitaceae","Orbiliaceae","Paraglomeraceae","Pezizaceae","Pezizales_unclassified","Pezizomycotina_fam_Incertae_sedis","Phaeosphaeriaceae","Phallaceae","Piptocephalidaceae","Piskurozymaceae","Plectosphaerellaceae","Pleomassariaceae","Pleosporaceae","Pleosporales_fam_Incertae_sedis","Pleosporales_unclassified","Psathyrellaceae","Pseudeurotiaceae","Pyronemataceae","Reticulascaceae","Rhizophlyctidaceae","Rhizophydiaceae","Rhizophydiales_fam_Incertae_sedis","Rhizopodaceae","Rutstroemiaceae","Saccharomycetaceae","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_unclassified","Saksenaeaceae","Schizoporaceae","Sclerotiniaceae","Sebacinales_Group_B","Sebacinales_unclassified","Sordariaceae","Sordariales_fam_Incertae_sedis","Sordariales_unclassified","Sordariomycetes_fam_Incertae_sedis","Sordariomycetes_unclassified","Spiculogloeaceae","Spizellomycetaceae","Sporidiobolales_fam_Incertae_sedis","Sporormiaceae","Stephanosporaceae","Stereaceae","Strophariaceae","Taphrinales_unclassified","Teratosphaeriaceae","Tetraplosphaeriaceae","Thelebolaceae","Thelephoraceae","Tilletiariaceae","Tremellales_fam_Incertae_sedis","Tremellales_unclassified","Trichocomaceae","Tricholomataceae","Trichosphaeriales_fam_Incertae_sedis","Trichosporonaceae","Tubeufiaceae","unclassified_Archaeosporales","unclassified_Auriculariales","unclassified_Botryosphaeriales","unclassified_Chaetothyriales","unclassified_Chytridiomycetes","unclassified_Chytridiomycota","unclassified_Ciliophora","unclassified_Eurotiomycetes","unclassified_Fungi","unclassified_Geoglossales","unclassified_Glomeromycota","unclassified_Hypocreales","unclassified_Kickxellales","unclassified_Leucosporidiales","unclassified_Microascales","unclassified_Mortierellales","unclassified_Onygenales","unclassified_Orbiliomycetes","unclassified_Paraglomerales","unclassified_Pleosporales","unclassified_Rozellomycota","unclassified_Sebacinales","unclassified_Sordariales","unclassified_Xylariales","Urocystidaceae","Ustilaginaceae","Venturiaceae","Verrucariaceae","Vibrisseaceae","Xylariaceae","Xylariales_fam_Incertae_sedis","Xylariales_unclassified"
"R-B1",1.833415837046e-05,5.500247511138e-05,0,0,0,5.500247511138e-05,0,0,0,3.666831674092e-05,0,0,0,0,0,0,0,0.0005500247511138,0,1.833415837046e-05,0,0.00038501732577966,0.0207542672753607,0,1.833415837046e-05,0,0,0,0,5.500247511138e-05,0.00034834900903874,0,0.00124672276919128,0.0006416955429661,0.00056835890948426,0,0,0,0,0,0,0.00749867077351814,1.833415837046e-05,3.666831674092e-05,0,3.666831674092e-05,0,0,0,0,0,1.833415837046e-05,0,0,0,0.00012833910859322,0,0,0,0,0,1.833415837046e-05,0,0,0,0.52729039473443,0,0.00306180444786682,0,0,0.00020167574207506,0,0,5.500247511138e-05,0.00856205195900482,0,0.00095337623526392,0,0.0004583539592615,0,0,0,0.00132005940267312,0.00286012870579176,1.833415837046e-05,0,0,0.0002750123755569,1.833415837046e-05,0.00031168069229782,0,0,7.333663348184e-05,0,0,0,0,0,5.500247511138e-05,0,0,0,0.0016500742533414,0,0,3.666831674092e-05,0,0,0,0,0,0.00077003465155932,0,0,0,0,0.340556991731295,0.00011000495022276,0,0,0,3.666831674092e-05,1.833415837046e-05,0,3.666831674092e-05,0,1.833415837046e-05,0.00020167574207506,0,0,0,0.0006416955429661,5.500247511138e-05,0.00033001485066828,0.00242010890490072,0.0177107969858644,1.833415837046e-05,0,0,0,0,0,0,1.833415837046e-05,0,0,0,0,0,0,0,1.833415837046e-05,0,0,0,1.833415837046e-05,1.833415837046e-05,0.00047668811763196,0,5.500247511138e-05,1.833415837046e-05,0,0.0212676237097336,0,0,0,0,0,0,0,0,0.0002750123755569,1.833415837046e-05,0.00947875987752782,0,0,0.022477678162184,0,0,0,0,0,0,0,0,0,0,1.833415837046e-05,0,0,0.00044001980089104,0,0,0,0,0,0,0.00016500742533414,0,3.666831674092e-05,0,0.0004583539592615,0,0.0002750123755569,0,0,0.00040335148415012,0.00011000495022276,3.666831674092e-05,0.0012833910859322
"R-B2",0,3.82672585335987e-05,0,0,0,1.91336292667993e-05,0,0,0,0,0,0,0,0,0,0,0,0.000612276136537578,0,3.82672585335987e-05,0,0.000612276136537578,0.0181004132863922,0,9.56681463339966e-05,0,0,0,0,0.00197076381448033,7.65345170671973e-05,0,0.00118628501454156,0.000210469921934793,0.000363538956069187,0,0,0,0,3.82672585335987e-05,0,0.00585489055564059,0,1.91336292667993e-05,0.000114801775600796,3.82672585335987e-05,1.91336292667993e-05,0,0,0,0,0,0,0,0,5.7400887800398e-05,0,0,0,0,0,0.000133935404867595,1.91336292667993e-05,0,0,0.543873411908771,0,3.82672585335987e-05,0,0,0.000114801775600796,0,0,3.82672585335987e-05,0.00715597734578295,3.82672585335987e-05,0.000535741619470381,0,0.000248737180468391,0,0,5.7400887800398e-05,0.000114801775600796,0.00197076381448033,3.82672585335987e-05,0,0,0.000229603551201592,1.91336292667993e-05,0.00507041175570182,7.65345170671973e-05,0,9.56681463339966e-05,3.82672585335987e-05,0,0,0,0,0,0,0,0,0.00451553650696464,0,0,0,0,0,0,0,0,0.00210469921934793,0,0.000172202663401194,0,0,0.290467625899281,1.91336292667993e-05,0,0,0,1.91336292667993e-05,0.000133935404867595,0,0,0,0.000133935404867595,9.56681463339966e-05,0,0,0,0.000478340731669983,0,0.000478340731669983,0.00254477269248431,0.0123411908770856,5.7400887800398e-05,0,0,0,0,0,0,7.65345170671973e-05,0,0,0,0,0,0,0,3.82672585335987e-05,3.82672585335987e-05,0,0,0,0,0.000267870809735191,0,1.91336292667993e-05,0,1.91336292667993e-05,0.0859482626664626,0,0,0,1.91336292667993e-05,0,0,0,0,3.82672585335987e-05,0,0.00160722485841114,0,0,0.00478340731669983,0,0,0,0,0,3.82672585335987e-05,0,0,0,0,0,3.82672585335987e-05,0,0.000765345170671973,0,0,0,0,0,0,0.000133935404867595,0,3.82672585335987e-05,1.91336292667993e-05,0.000631409765804378,0,0.000191336292667993,0,0,0.000440073473136385,0,0,0.00191336292667993
"R-B3",0,1.83583925391493e-05,0,1.83583925391493e-05,0,3.67167850782985e-05,0,3.67167850782985e-05,0,0,0,0,0,0,0,0,0,0.00110150355234896,0,5.50751776174478e-05,0,0.00139523783297534,0.0186337684272365,0,0.000110150355234896,5.50751776174478e-05,0,0,0,0,0,0,0.00156046336582769,0.000458959813478732,0.000201942317930642,0,7.34335701565971e-05,0,0,0,0,0.00664573809917204,1.83583925391493e-05,0.000165225532852343,0,0.000917919626957464,1.83583925391493e-05,0,3.67167850782985e-05,1.83583925391493e-05,0,0,0,0,0,0.000422243028400433,0,0,0,7.34335701565971e-05,0,0.000128508747774045,0,0,0,0.574636044867911,0,0.000330451065704687,0,0,7.34335701565971e-05,0,0,0.000110150355234896,0.00433258063923923,0,0.00108314515980981,0,0.00102806998219236,0,0,1.83583925391493e-05,0.000110150355234896,0.00211121514200217,3.67167850782985e-05,0,3.67167850782985e-05,0.000422243028400433,0,0.0038001872556039,0,0,1.83583925391493e-05,1.83583925391493e-05,0,0,0,0,0,3.67167850782985e-05,0,0,0.000605826953791926,0,0,1.83583925391493e-05,0,0,0,0,0,0.00152374658074939,0.000146867140313194,0,0,0,0.307135907179967,0.00025701749554809,0,0,0,5.50751776174478e-05,0.000146867140313194,0,0,0,0.000201942317930642,0.000624185346331075,0,0,5.50751776174478e-05,0.000972994804574911,3.67167850782985e-05,0.0013768794404362,0.0102439830368453,0.0179361495107488,0.000220300710469791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110150355234896,0,0,0,0,0,0.000660902131409374,0,0,0,0.000110150355234896,0.0287492427163078,0,0.000128508747774045,0,0,0,0,0,0,0.000128508747774045,0,0.0026068917405592,0,0,0.00203778157184557,3.67167850782985e-05,0,0,0.000128508747774045,0,0,0,0,0,0,0,0,3.67167850782985e-05,0.00049567659855703,0,0,1.83583925391493e-05,0,0,0,7.34335701565971e-05,0,7.34335701565971e-05,0,0.000605826953791926,0,9.17919626957464e-05,0,0,0.000605826953791926,0,0,0.0013401626553579
"R-BF-1",0,1.46479368380964e-05,0,0.000190423178895253,0,5.85917473523854e-05,0,0,0,4.39438105142891e-05,0,0,0,0,0,0,0,0.000937467957638167,0,2.92958736761927e-05,0,0.000966763831314359,0.0227921897200779,0,1.46479368380964e-05,0.000175775242057156,0,0,0,8.78876210285781e-05,0,0,0.00309071467283833,0.000395494294628602,0.000556621599847661,0,8.78876210285781e-05,0,0,2.92958736761927e-05,0,0.00477522740921941,0,0.000102535557866674,0.00238761370460971,0.000527325726171469,1.46479368380964e-05,0,0,0,0,0,0,0,0,0.00048338191565718,0,0,0,7.32396841904818e-05,0,0,0,0,0,0.615198699263209,0,0,0,0,0.000102535557866674,0,0,1.46479368380964e-05,0.0147797682696392,0,0.000688453031390529,0,0.000366198420952409,0,0,1.46479368380964e-05,8.78876210285781e-05,0.00357409658849551,0,0,0,0.000146479368380964,8.78876210285781e-05,0.000454086041980987,0,0,0.000117183494704771,2.92958736761927e-05,0,0,0,0,0,0,0,0,0.00908172083961974,0,0,0,0,0,0,0,0,0.00351550484114312,0,0,0,0,0.280918132681012,0.000219719052571445,0,0,0,1.46479368380964e-05,0,1.46479368380964e-05,0,0,1.46479368380964e-05,0.000146479368380964,0,1.46479368380964e-05,0,0.00032225461043812,7.32396841904818e-05,0.000952115894476263,0.00260733275718115,0.0134028622068582,0.000205071115733349,0,0,0,0,0,0,1.46479368380964e-05,0,0,0,5.85917473523854e-05,0,0,0,7.32396841904818e-05,0,0,0,0,1.46479368380964e-05,0.000292958736761927,0,2.92958736761927e-05,2.92958736761927e-05,0,0.0016112730521906,0,0,0,0,0,0,0,0,0.000117183494704771,0,0.000615213347200047,2.92958736761927e-05,1.46479368380964e-05,0.00767551890316249,1.46479368380964e-05,0,0.000131831431542867,0,0,0,1.46479368380964e-05,0,0,0,0,1.46479368380964e-05,0,0.000498029852495276,0,0,2.92958736761927e-05,0,0,0,0.000102535557866674,0,0,1.46479368380964e-05,0.000585917473523854,2.92958736761927e-05,0.000439438105142891,0,0,0.000556621599847661,0.000131831431542867,0,0.00183099210476204
"R-BF-2",0,4.24853956452469e-05,0,8.49707912904939e-05,4.24853956452469e-05,0.000106213489113117,0,0,0,4.24853956452469e-05,0,0,0,0,0,8.49707912904939e-05,0,0.0027190653212958,0,0,0,0.00097716409984068,0.0244503451938396,4.24853956452469e-05,0,0,0,0,0,0.000148698884758364,0.000127456186935741,0,0.00146574614976102,0.00112586298459904,0.000679766330323951,0,0.000106213489113117,0,0,4.24853956452469e-05,8.49707912904939e-05,0.00575677110993096,0,0.000509824747742963,0.000297397769516729,6.37280934678704e-05,0,0,0,0,0,0,0,0,0,0.000106213489113117,0,0,0,0,0,0,0,2.12426978226235e-05,0,0.641635687732342,0,2.12426978226235e-05,0,0,0.000148698884758364,0,0,2.12426978226235e-05,0.0207328730748805,0,0.00195432819968136,0,0.00269782262347318,0,0,0,0.00129580456718003,0.00450345193839618,0.000127456186935741,0,0,0.000467339352097716,0.000106213489113117,0.000955921402018056,0,0,0.000254912373871482,0.000169941582580988,0,0,0,0,6.37280934678704e-05,0,0,2.12426978226235e-05,8.49707912904939e-05,0,0.000148698884758364,0,0,0,0,0,0,0.00303770578863516,4.24853956452469e-05,0.00142326075411577,0,0,0.248433351035582,4.24853956452469e-05,0,0,0,0,2.12426978226235e-05,8.49707912904939e-05,4.24853956452469e-05,0,6.37280934678704e-05,0.000361125862984599,0,0,0,0.00127456186935741,0,0.000212426978226235,0.0038874137015401,0.00983536909187467,0.000106213489113117,0,0,0,0,0,0,0,0,2.12426978226235e-05,0.000127456186935741,0,0,0,0,0.000127456186935741,0,0,0,0,4.24853956452469e-05,0.00055231014338821,0,0,0,0,0.001805629314923,0,0.00429102496016994,0,0,2.12426978226235e-05,0,0,0,2.12426978226235e-05,0,0.00246415294742432,0,0,0.00174190122145512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000339883165161976,0,0,0,0,0,0,0.000254912373871482,0,0,8.49707912904939e-05,0.000807222517259692,4.24853956452469e-05,0.000743494423791822,0,0,0.00101964949548593,0,0,0.00206054168879448
"R-BF-3",2.23338916806253e-05,2.23338916806253e-05,0,2.23338916806253e-05,2.23338916806253e-05,0.000111669458403127,0,0,0,6.70016750418761e-05,0,0,0,0,0,0,0,0.00154103852596315,0,6.70016750418761e-05,0,0.00415410385259631,0.0533333333333333,2.23338916806253e-05,0.000178671133445003,0,4.46677833612507e-05,0,0,0,4.46677833612507e-05,0,0.00169737576772753,0.00033500837520938,0.000893355667225014,0,6.70016750418761e-05,0.000178671133445003,0,0,0,0.00846454494695701,0,0,0.000111669458403127,0.000156337241764377,2.23338916806253e-05,0,0,0,0,0,0,0,0,0.000670016750418761,0,0,0,0,0,0,0,0,0,0.490630932439978,0,0.000111669458403127,0,2.23338916806253e-05,0.000178671133445003,0,0,0.000156337241764377,0.0143830262423227,0,0.00243439419318816,0,0.000536013400335008,0,0,4.46677833612507e-05,0.00029034059184813,0.00415410385259631,0,0,0,0.000223338916806253,0,0.000536013400335008,4.46677833612507e-05,0,4.46677833612507e-05,0.000156337241764377,0,0,0,0,0,0,0,0,0.00100502512562814,0,0,8.93355667225014e-05,0,0,0,0,0.000134003350083752,0.00647682858738135,0,0,2.23338916806253e-05,0,0.356225572305974,0.000268006700167504,0,0,0,6.70016750418761e-05,4.46677833612507e-05,0,0,0,8.93355667225014e-05,0.000379676158570631,0,6.70016750418761e-05,4.46677833612507e-05,0.00292573981016192,6.70016750418761e-05,0.000558347292015634,0.00341708542713568,0.0139810161920715,0.000312674483528755,0,0,0,0,0,0,6.70016750418761e-05,0,0,0.000111669458403127,2.23338916806253e-05,0,0,0,0.000178671133445003,0,0,0,0,0,0.000804020100502513,0,0,4.46677833612507e-05,0,0.00165270798436628,0,0.0017643774427694,0,0,0,0,0,0,0.000223338916806253,0,0.00111669458403127,0,0,0.0169067560022334,0.000245672808486879,0,2.23338916806253e-05,0,0,0.00033500837520938,0,0,0,0,0,6.70016750418761e-05,0,0.000513679508654383,0,0,0,0,0,0,0.00033500837520938,0,4.46677833612507e-05,0,0.000804020100502513,0,0.000536013400335008,0,0,0.000268006700167504,0,0,0.00154103852596315
"R-BFi-1",4.53494172599882e-05,0.000204072377669947,0,0.000408144755339894,0.000997687179719741,0.000113373543149971,0,0,0,0,0,2.26747086299941e-05,0,0,0,0,0,0.00145118135231962,0,6.80241258899823e-05,0,0.00303841095641921,0.0223572627091742,0.000453494172599882,4.53494172599882e-05,0,2.26747086299941e-05,0,0,0.000113373543149971,0.0259625413813433,0,0.00489773706407873,0.000317445920819917,0.000362795338079906,0,0,0,0,0,0,0.0123577162033468,0,4.53494172599882e-05,0,0.000226747086299941,2.26747086299941e-05,0,0,0,0,2.26747086299941e-05,0,0,0,0.000158722960409959,0,0,0,4.53494172599882e-05,0,0,0,9.06988345199764e-05,0,0.550088431363657,0,0.00122443426601968,0,4.53494172599882e-05,0.000249421794929935,0,0,0.000136048251779965,0.0175275497709854,4.53494172599882e-05,0.00126978368327967,0,0.000544193007119859,0,0,0,0.000680241258899823,0.00351457983764909,9.06988345199764e-05,0,0,0.000226747086299941,2.26747086299941e-05,0.00158722960409959,0.000317445920819917,0,4.53494172599882e-05,4.53494172599882e-05,0,0,0,0,4.53494172599882e-05,2.26747086299941e-05,0,0,6.80241258899823e-05,0,0,0,0,2.26747086299941e-05,0,0,0,0.00349190512901909,0,0,0,0,0.313296449140629,0.00108838601423972,0,0,0,2.26747086299941e-05,0,4.53494172599882e-05,0,0,0.000136048251779965,9.06988345199764e-05,0,0,0,0.000929663053829758,0,0.000362795338079906,0.0030610856650492,0.0148292594440161,0.000226747086299941,2.26747086299941e-05,0,0,0,0,0,4.53494172599882e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000521518298489864,0,6.80241258899823e-05,0,2.26747086299941e-05,0.000362795338079906,0,0,0,0,0,0,0,0,0.000158722960409959,0,0.00219944673710943,0,0,0.00122443426601968,0,4.53494172599882e-05,2.26747086299941e-05,0,0,0,0,0,0,0,2.26747086299941e-05,0,0,0.00049884358985987,0,0,0,0,2.26747086299941e-05,0,0.000158722960409959,0,0,0,0.000861638927939776,0,0.000702915967529817,0,0,0.000272096503559929,4.53494172599882e-05,2.26747086299941e-05,0.00342388100312911
"R-BFi-2",0,5.59086080620213e-05,0,0.000782720512868298,0,0.000969082539741702,0,0,0,3.72724053746809e-05,0,0,0,1.86362026873404e-05,0,0,0,0.000819992918242979,0,3.72724053746809e-05,0,0.00132317039080117,0.0246929685607261,7.45448107493617e-05,0,1.86362026873404e-05,0,0,0,3.72724053746809e-05,1.86362026873404e-05,0,0.00486404890139585,0.000298179242997447,0.000838629120930319,0,1.86362026873404e-05,0,0,0,0,0.00482677649602117,0,0.00126726178273915,0.00044726886449617,0.000279543040310106,0,0,0,0,0,3.72724053746809e-05,0,0,0,0.000484541269870851,0,0,0,0,0,3.72724053746809e-05,0,0,0,0.602098436422595,0,0.00104362735049106,0,0,1.86362026873404e-05,0,0,3.72724053746809e-05,0.0144244208800015,0,0.00119271697198979,0,0.000316815445684787,0,0,0,0.000167725824186064,0.00445405244227436,1.86362026873404e-05,0,0,0.000204998229560745,0,0.000726811904806277,0,0,5.59086080620213e-05,0.000111817216124043,0,0,0,0,0,0,0,0,0.000745448107493617,0,0,0,0,0,0,0,0,0.0223634432248085,9.31810134367021e-05,0.000204998229560745,0,0,0.285115264913621,0.000279543040310106,0,0,0,1.86362026873404e-05,5.59086080620213e-05,0,0,0,0.000223634432248085,7.45448107493617e-05,0,1.86362026873404e-05,0,0.000670903296744255,9.31810134367021e-05,0.000335451648372128,0.00231088913323021,0.00942991855979426,0.000260906837622766,0,0,0,0,0,0,1.86362026873404e-05,0,0,0,0,0,0,0,1.86362026873404e-05,0,0,0,0,0,0.000633630891369575,1.86362026873404e-05,0,0.000726811904806277,0,9.31810134367021e-05,0,0.000223634432248085,0,0,0,0,0,1.86362026873404e-05,3.72724053746809e-05,0,0.00218043571441883,0,0,0.0015654410257366,0,0,1.86362026873404e-05,3.72724053746809e-05,0,0,0,0,0,0,0,1.86362026873404e-05,0,0.000354087851059468,0,0,3.72724053746809e-05,0,0,0,0.000186362026873404,7.45448107493617e-05,7.45448107493617e-05,9.31810134367021e-05,0.00085726532361766,0,0.00042863266180883,0,0,3.72724053746809e-05,0.000242270634935426,1.86362026873404e-05,0.0025345235654783
"R-Bi-1",0,0.000117090142682702,0,0.000351270428048107,3.34543264807721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00102035695766355,0,1.67271632403861e-05,0,0.000836358162019303,0.0236354816586655,0,8.36358162019303e-05,6.69086529615443e-05,0,0,0,5.01814897211582e-05,0,0,0.0076777679273372,0.000167271632403861,0.000367997591288493,0,3.34543264807721e-05,0,0,0,0,0.00511851195155814,0,3.34543264807721e-05,0.000986902631182778,0.000133817305923089,0.000234180285365405,0,1.67271632403861e-05,0,0,0,0,0,0,0.000250907448605791,0,0,0,3.34543264807721e-05,0,1.67271632403861e-05,0.000117090142682702,8.36358162019303e-05,0,0.60485422277236,0,0.000317816101567335,0,0,3.34543264807721e-05,0,0,6.69086529615443e-05,0.00829667296723149,0.000217453122125019,0.00148871752839436,0,0.000317816101567335,0,0,5.01814897211582e-05,0.000117090142682702,0.0022748942006925,0.000602177876653898,0,0,0.000384724754528879,0.000133817305923089,0.000869812488500075,0,0,3.34543264807721e-05,5.01814897211582e-05,0,0,0,0,0,0,0,0,0.00205744107856749,6.69086529615443e-05,0,1.67271632403861e-05,0,0,0,0,0,0.00720940735660639,0,0,0,0,0.289998829098573,0.000853085325259689,0,0,0,1.67271632403861e-05,1.67271632403861e-05,0,1.67271632403861e-05,0,6.69086529615443e-05,0.000301088938326949,0,0,8.36358162019303e-05,0.00173962497700015,0,0.00292725356706756,0.00259271030225984,0.00985229914858739,0.00122108291654818,0,0,0,0,0,0,5.01814897211582e-05,0,0,3.34543264807721e-05,3.34543264807721e-05,0,0,0,5.01814897211582e-05,0,0,0,0,1.67271632403861e-05,0.000334543264807721,0,0,0,6.69086529615443e-05,0.00165598916079822,0,5.01814897211582e-05,0,0,0,0,0,0,0.000133817305923089,0,0.00222471271097135,0,0,0.0111904722078183,1.67271632403861e-05,0,0,0,1.67271632403861e-05,0,0,0,0,0,0,0,0,0.000301088938326949,0,0,1.67271632403861e-05,0,0,0,6.69086529615443e-05,0,1.67271632403861e-05,0.000117090142682702,0.000802903835538531,0,0.000367997591288493,0,0,0.000317816101567335,0,0,0.00148871752839436
"R-Bi-2",0,7.46045956430916e-05,0,0.000522232169501641,0,4.97363970953944e-05,0,0,0,0,0,0,0,0,0,7.46045956430916e-05,0,0.00188998308962499,0,4.97363970953944e-05,0,0.000248681985476972,0.0183278623296528,0.00169103750124341,7.46045956430916e-05,0,0,0,0,0.00017407738983388,0.000298418382572366,0,0.00343181139958221,0.000497363970953944,4.97363970953944e-05,0,4.97363970953944e-05,2.48681985476972e-05,0,0,0,0.00437680294439471,0,0,0.00216353327364966,0.000198945588381578,7.46045956430916e-05,0,0,0,0,0,0,0,0,0.000149209191286183,0,0,0,0,0,2.48681985476972e-05,0,2.48681985476972e-05,0,0.629737391823336,0,2.48681985476972e-05,0,0,0.000149209191286183,2.48681985476972e-05,2.48681985476972e-05,7.46045956430916e-05,0.00857952849895554,0,0.000994727941907888,0,0.000969859743360191,0,0,0,0.000198945588381578,0.00186511489107729,0,0,0,4.97363970953944e-05,4.97363970953944e-05,0.00161643290560032,0,0,2.48681985476972e-05,0,0,0,0,0,0,2.48681985476972e-05,0,0,0.0177310255645081,0,0,0,0,0,0,0,0,0.00198945588381578,0,0,0,0,0.266462747438576,0.000273550184024669,0,0,0,0,0,0,0,0,4.97363970953944e-05,0.000223813786929275,2.48681985476972e-05,0,2.48681985476972e-05,0.000845518750621705,2.48681985476972e-05,0.000348154779667761,0.00191485128817268,0.0149706555257137,0.000124340992738486,0,0,7.46045956430916e-05,0,0,0,0,0,0,2.48681985476972e-05,0.000124340992738486,0,0,0,0,0,0,0,0,0,0.000373022978215458,0,0,2.48681985476972e-05,2.48681985476972e-05,0.00191485128817268,0,0.00131801452302795,0,0,0,0,0,0,7.46045956430916e-05,0,0.00141748731721874,0,0,0.00721177757883219,0,0,0,0,0,0,0,0,0,2.48681985476972e-05,4.97363970953944e-05,9.94727941907888e-05,0,0.000124340992738486,0,0,0,0,0,0,0.000124340992738486,0,7.46045956430916e-05,0.000248681985476972,0.000696309559335522,0,0.000223813786929275,0,0,0.000149209191286183,0,0.000124340992738486,0.00149209191286183
