Clade,A,B
Anthophorini,Solitary,Solitary
Nomadinae,Solitary,Solitary
Eucerinae,Solitary,Solitary
Centridini,Solitary,Solitary
Manuelia,Solitary,Solitary
Tetrapedia,Solitary,Solitary
Ctenoplectra,Solitary,Solitary
Xylocopini,Social,Social
Euglossini,Social,Social
Apini,Hypersocial,Hypersocial
Meliponini,Hypersocial,Hypersocial
Bombini,Eusocial,Hypersocial
Ceratinini,Social,Social
Allodapini,Eusocial,Hypersocial
